date,close,open,high,low,volume
2019/1/8,1292.4,1296.4,1297.2,1286.7,38.26K
2019/1/9,1298.5,1292.6,1301.3,1287.3,30.71K
2019/1/10,1294,1301.3,1304.3,1293.2,39.62K
2019/1/11,1296.1,1294.1,1302.1,1293.9,33.60K
2019/1/14,1298,1294.5,1303.1,1294.4,42.25K
2019/1/15,1294.9,1298.9,1301.3,1293.1,27.92K
2019/1/16,1300.3,1295.9,1301.9,1294.1,17.57K
2019/1/17,1298.7,1300.5,1301.3,1294.8,19.83K
2019/1/18,1288.9,1298.3,1298.6,1286.3,32.33K
2019/1/22,1289.5,1287.5,1291.1,1282.1,73.64K
2019/1/23,1290.2,1290.8,1292.1,1284,62.35K
2019/1/24,1285.9,1288.3,1290,1281.5,70.66K
2019/1/25,1304.2,1286,1309.3,1284.8,90.11K
2019/1/28,1309.3,1308.5,1309.8,1302.7,126.08K
2019/1/29,1315.2,1308.5,1317.1,1307.8,185.54K
2019/1/30,1321.9,1323.2,1334.9,1320,8.29K
2019/1/31,1331.6,1332,1337.2,1328.8,4.30K
2019/2/1,1328.6,1332.1,1334.2,1327.2,3.62K
2019/2/4,1325.8,1329,1329.5,1319.3,2.89K
2019/2/5,1325.8,1322.4,1327.3,1321.5,4.21K
2019/2/6,1320.9,1325.7,1326.1,1316.6,2.26K
2019/2/7,1320.7,1317.2,1322.2,1313.2,5.73K
2019/2/8,1325,1320.5,1325.9,1318.2,6.48K
2019/2/11,1318.4,1324.6,1324.9,1313.7,4.95K
2019/2/12,1320.4,1317.1,1324.6,1317.1,3.90K
2019/2/13,1321.6,1321.3,1328,1314.9,5.40K
2019/2/14,1320.4,1316.7,1323.7,1311.3,3.61K
2019/2/15,1328.5,1322,1332.2,1320.7,2.83K
2019/2/19,1351.3,1331.1,1351.4,1330.5,5.59K
2019/2/20,1354.4,1350.3,1356,1346.8,4.04K
2019/2/21,1334.3,1348.1,1350.7,1330,6.33K
2019/2/22,1339.4,1332.4,1342,1330.3,8.27K
2019/2/25,1336.1,1336.9,1341.4,1334,4.22K
2019/2/26,1335.2,1336,1338.8,1332.1,8.87K
2019/2/27,1327.9,1337.7,1338,1325,18.90K
2019/2/28,1322.7,1328,1335,1320.6,8.31K
2019/3/1,1305.8,1322,1323.2,1297.8,32.36K
2019/3/4,1294,1301,1304.6,1290.3,13.64K
2019/3/5,1291.2,1294.1,1297,1288.5,18.12K
2019/3/6,1294.2,1295.2,1298.1,1290.9,13.12K
2019/3/7,1292.8,1293.5,1296.1,1287.5,51.05K
2019/3/8,1306,1293.2,1307.7,1292.2,33.72K
2019/3/11,1297.6,1305.5,1305.6,1297.1,34.47K
2019/3/12,1304.5,1300.1,1308.8,1298.6,37.83K
2019/3/13,1315.8,1307.9,1317.9,1307.3,33.49K
2019/3/14,1301.4,1315.6,1316.6,1299,31.49K
2019/3/15,1308.9,1301.9,1312.3,1300.1,39.41K
2019/3/18,1307.7,1308.3,1312.7,1304.3,24.63K
2019/3/19,1312.7,1309.4,1316.9,1308.2,34.04K
2019/3/20,1307.8,1311.8,1323.3,1304.3,55.44K
2019/3/21,1313.6,1318.6,1326.3,1309.1,61.63K
2019/3/22,1318.7,1315.4,1320.9,1312.8,79.64K
2019/3/25,1329,1319.7,1330.8,1317,85.90K
2019/3/26,1321.4,1328.3,1329.3,1318.5,122.60K
2019/3/27,1316.9,1321.7,1325.2,1313.7,201.61K
2019/3/28,1301.4,1320.5,1323.2,1299.5,5.57K
2019/3/29,1304.5,1301.1,1310.4,1297.6,2.98K
2019/4/1,1300.3,1302.9,1307.5,1297.2,1.81K
2019/4/2,1301.4,1298.3,1303,1296,5.42K
2019/4/3,1301.3,1302.8,1304.8,1298.8,3.91K
2019/4/4,1300.3,1301.4,1304.5,1290.9,9.90K
2019/4/5,1301.7,1302.7,1303.6,1294.3,3.96K
2019/4/8,1307.9,1302.5,1313.8,1301.8,3.37K
2019/4/9,1314.3,1308.3,1316.1,1307.5,4.22K
2019/4/10,1319.9,1314.5,1320.7,1311,5.55K
2019/4/11,1299.3,1318.1,1318.8,1299,4.33K
2019/4/12,1301.2,1302,1305,1299.8,2.67K
2019/4/15,1297.4,1300.5,1301,1291.4,6.25K
2019/4/16,1283.2,1297,1297.4,1281.7,6.09K
2019/4/17,1282.8,1285.4,1287.9,1281.4,3.34K
2019/4/18,1282,1282.1,1285.4,1278.9,2.80K
2019/4/22,1283.7,1283.9,1287.6,1282,1.03K
2019/4/23,1279.2,1283.2,1284.2,1274,21.34K
2019/4/24,1285.4,1279.9,1286.6,1276.4,5.03K
2019/4/25,1285.7,1283.8,1290.5,1281.7,3.60K
2019/4/26,1294.8,1285.6,1296.8,1282.6,5.39K
2019/4/29,1287.5,1294.7,1294.7,1285.9,4.92K
2019/4/30,1291.7,1287.6,1294,1287.5,5.55K
2019/5/1,1290.2,1291.1,1295.4,1281.2,8.12K
2019/5/2,1277.8,1284.7,1285.1,1273.2,27.37K
2019/5/3,1287.2,1277.5,1289.7,1275,8.82K
2019/5/6,1289.8,1287.1,1292.8,1284.1,10.35K
2019/5/7,1291.6,1288.8,1293.1,1285.1,25.23K
2019/5/8,1287.4,1291.5,1298.7,1286.5,27.53K
2019/5/9,1291.2,1288,1295.1,1286.4,36.98K
2019/5/10,1293.3,1290.9,1296,1289.8,28.70K
2019/5/13,1307.7,1293.7,1308,1288.3,44.19K
2019/5/14,1302.1,1306.6,1310.1,1300.1,16.55K
2019/5/15,1303.7,1303.4,1307.5,1299.3,17.97K
2019/5/16,1292,1303.2,1305.1,1289.9,19.65K
2019/5/17,1281.4,1292.6,1294.6,1280.4,19.97K
2019/5/20,1282.9,1282.3,1284.4,1279.1,40.74K
2019/5/21,1278.8,1283,1283.1,1274.6,39.30K
2019/5/22,1279.5,1280,1282.4,1277.6,37.14K
2019/5/23,1291,1278.5,1292.5,1277.5,73.37K
2019/5/24,1289.2,1288.9,1290.3,1285.8,77.73K
2019/5/28,1282.5,1289.2,1292.6,1280.8,211.07K
2019/5/29,1286.3,1284.3,1290.3,1283.8,201.24K
2019/5/30,1298.3,1290.1,1299.1,1285.6,0.87K
2019/5/31,1316.9,1299.1,1317.5,1299.1,1.80K
2019/6/3,1333.7,1317.4,1338.3,1317.4,1.64K
2019/6/4,1334.5,1335.4,1339.3,1330.6,2.66K
2019/6/5,1339.3,1335.5,1354.5,1335.5,1.71K
2019/6/6,1348.4,1342,1349.2,1337.7,0.54K
2019/6/7,1351.8,1346.4,1357.4,1341.4,1.39K
