date,open,volume,low,high,close
2022/6/29,394.5192,143448,393.9918009,396.158247,394.1388962
2022/6/30,394.7194,185952,393.1186995,396.7912668,393.6003104
2022/7/1,391.3288,212511,389.4026878,395.2654115,389.9820295
2022/7/4,391.6431,194776,387.7283943,392.3827439,391.9576606
2022/7/5,391.8408,96873,390.9150044,392.2581895,391.6767807
2022/7/6,384.5592,255392,382.7349414,391.2453848,383.9203896
2022/7/7,377.8824,263546,376.0904779,383.7490564,378.4965769
2022/7/8,377.6884,159786,376.7225967,379.1450035,378.1439197
2022/7/11,378.0378,194397,376.6884313,379.7983851,378.2159157
2022/7/12,377.3343,214352,375.5926189,380.8640338,377.9688402
2022/7/13,376.2816,213330,374.9367617,378.062036,375.4120416
2022/7/14,377.1861,283103,373.2206574,379.7162183,375.8051813
2022/7/15,373.6032,240350,372.0237766,375.4015724,373.2427529
2022/7/18,373.2963,209580,371.7432683,375.4110918,374.7823728
2022/7/19,373.8341,160431,372.9078315,375.8240928,373.6932205
2022/7/20,374.1299,138850,373.1993823,374.8318933,373.4034696
2022/7/21,371.9761,171807,369.7439559,375.0870502,370.1504818
2022/7/22,375.9047,231862,371.7077037,376.5654997,375.8974423
2022/7/25,376.1211,180473,375.9729016,379.5960846,377.1065092
2022/7/26,376.3412,127866,375.1443805,377.7310071,377.334085
2022/7/27,376.4631,120310,375.7741326,377.0223819,376.5997658
2022/7/28,379.7192,162109,375.0117213,380.7061933,380.6492906
2022/7/29,383.8338,202098,380.803605,386.4228283,386.0158198
2022/8/1,385.8309,164569,383.7282213,386.5514918,385.7719986
2022/8/2,390.7379,167040,387.1422255,391.0675672,389.1736903
2022/8/3,385.3135,215707,384.5693133,391.5045107,387.2666526
2022/8/4,386.4334,158779,384.7556803,388.5223028,387.8722041
2022/8/5,391.2472,133246,388.1237647,391.9432209,391.0730259
2022/8/8,388.4872,119304,386.6553227,389.4192451,388.7511531
2022/8/9,391.0802,101634,389.5946734,391.3665452,390.4807726
2022/8/10,391.8263,107446,391.0325997,393.2033034,391.2190883
2022/8/11,390.3172,120915,389.1511004,392.4571326,389.6414755
2022/8/12,390.2233,93965,389.845621,391.9122993,391.2562376
2022/8/15,392.6378,119540,390.8655591,393.2220908,392.0539545
2022/8/16,391.4916,105123,389.515607,391.8002011,391.5571178
2022/8/17,389.9335,96155,389.6418348,390.8951166,389.9833451
2022/8/18,387.6788,106022,386.8340136,389.593873,387.8613596
2022/8/19,387.0112,117933,386.609583,389.0346652,387.6452445
2022/8/22,386.8729,102271,386.1438439,388.737127,386.3858431
2022/8/23,386.9298,92831,385.1219187,387.9121937,387.3634543
2022/8/24,388.3606,93029,386.625851,389.6653937,389.6103375
2022/8/25,390.3222,84499,388.7125527,391.1505899,390.9172749
2022/8/26,390.4288,114876,389.813563,391.7850335,391.4502842
2022/8/29,389.1098,152155,387.6548613,391.3051505,388.1790052
2022/8/30,390.2448,89046,389.4885635,391.0392682,389.5722733
2022/8/31,388.1116,107110,386.9312058,389.4371271,387.248306
2022/9/1,385.3137,144010,383.3213486,387.1445666,384.060138
2022/9/2,382.8509,123455,381.4623604,383.6237842,383.3710129
2022/9/5,385.1058,114406,383.8826703,387.8944075,387.1970257
2022/9/6,388.9524,76366,386.7349613,389.4328093,389.297302
2022/9/7,386.0748,111301,385.5001321,388.7272629,386.6658517
2022/9/8,388.8356,106713,386.5299272,390.0101902,389.7676966
2022/9/9,388.0222,122615,387.038925,389.7877086,389.7770673
2022/9/13,389.6762,48012,389.0502108,390.4644399,389.9138834
2022/9/14,387.6861,126858,386.9409327,388.860512,387.4038926
2022/9/15,386.8846,118547,385.2633615,388.7788366,385.4893454
2022/9/16,383.7975,176158,383.2700367,386.9885775,383.9791803
2022/9/19,385.1407,135192,383.8318066,386.3545729,385.0068061
2022/9/20,386.0379,103118,384.3549114,387.313877,386.1477454
2022/9/21,385.3848,108020,384.464051,387.6411516,387.190647
2022/9/22,386.2974,115027,384.5786,387.5560689,386.35418
2022/9/23,387.5973,118015,386.8350564,388.9241546,387.9659468
2022/9/26,383.516,188855,383.1193552,386.8596809,384.7362554
2022/9/27,383.7488,138455,382.7837248,385.8245878,385.2288712
2022/9/28,384.7975,146382,384.6124365,386.295246,386.2166285
2022/9/29,388.4333,186550,387.6997711,390.1425233,389.8206254
2022/9/30,389.2854,152879,387.5697352,391.1577256,390.9232515
2022/10/10,397.0897,91024,393.0703692,397.9854868,393.3854538
2022/10/11,392.2206,121483,391.4799507,393.1556418,392.8504448
2022/10/12,391.9658,123458,391.6531839,393.9827016,393.1153871
2022/10/13,393.4873,95014,392.7191468,394.0399203,393.1236831
2022/10/14,392.2685,204472,390.3349293,393.0550781,392.4615764
2022/10/17,390.6928,136811,389.6659615,392.1642705,390.3083983
2022/10/18,390.3103,110516,390.0517638,392.9707585,390.8385167
2022/10/19,391.0993,101407,389.914157,391.5332461,390.2240574
2022/10/20,389.1822,131269,387.8758793,390.3398467,388.1481123
2022/10/21,388.3703,116349,387.2230246,389.5473089,387.5587143
2022/10/24,391.9259,212172,388.3489992,392.9006562,392.8104815
2022/10/25,393.6075,135120,392.7638264,394.9925859,393.9411694
2022/10/26,393.414,137832,393.2933347,395.049064,393.8012155
2022/10/27,392.0879,136852,391.7626822,393.2718931,392.9688242
2022/10/28,393.9105,111563,392.79849,394.0245252,392.969878
2022/10/31,391.2781,120474,390.4826208,392.1677876,391.8928927
2022/11/1,391.3832,118458,390.500817,392.3781845,391.5152
2022/11/2,392.7129,120201,391.0861431,393.1368582,392.2190837
2022/11/3,391.6427,137767,390.8974061,394.2228698,391.0343936
2022/11/4,390.3917,142701,388.6831812,391.3494438,390.8625121
2022/11/7,394.0452,181267,390.4547093,394.8141448,394.1986441
2022/11/8,394.2022,138797,393.9993906,395.7526794,394.9940852
2022/11/9,401.5998,216260,395.0001949,403.5613809,403.4854192
2022/11/10,402.7032,163063,402.0481765,404.4822847,403.7295276
2022/11/11,409.4778,252737,403.4372055,416.7335776,406.9507227
2022/11/14,406.8588,171975,403.078315,407.9286652,403.5861231
2022/11/15,405.3484,161347,403.7433871,406.963394,404.948592
2022/11/16,406.2689,191636,404.6458233,407.708071,407.0973097
2022/11/17,407.159,165183,406.9184221,408.9844523,407.7408762
2022/11/18,407.3323,152840,406.8018352,408.4969352,407.4451837
2022/11/21,404.8212,167474,404.1202903,407.0272081,405.3163482
2022/11/22,404.7601,157044,404.0502149,405.6629737,404.9688601
2022/11/23,404.4866,135408,404.1508895,405.6010269,404.7598578
2022/11/24,406.4473,198258,402.8823981,407.377272,406.4544088
2022/11/25,407.1705,139061,406.8025051,408.1783732,407.6194417
2022/11/28,409.0415,190437,406.7239531,409.9099458,408.1265717
2022/11/29,407.0877,194556,405.9646549,409.0881512,406.6965829
2022/11/30,405.2065,169690,404.8115973,407.4959681,406.2258911
2022/12/1,405.3772,228888,401.4048405,407.4428691,407.2031642
2022/12/2,409.8892,199838,407.7314172,410.2798301,409.8958086
2022/12/5,408.0408,198724,405.694943,409.213823,405.8884985
2022/12/6,402.2983,204633,401.5789343,404.7051085,401.9523767
2022/12/7,401.9963,135566,401.0076157,403.7965794,401.2838778
